text;label
"легендарной автобусной остановки пляже Мэнбан, курорт Самчхок императорского дворца Кёнбокгун Сеуле — отправляйтесь путешествие BTS! Волшебная способность читателя — возможность оказаться любом месте, выходя дома, благодаря книгам-путеводителям захватывающим историям. Например, помощью новой книги «The Purple Road» каждый сможет оказаться среди избранных мест Южной Кореи, связанных самой популярной k-pop группой! страницах книги найдете: — локации, которых мемберы снимали видеоклипы делали фотосессии; — интересные факты традиционной корейской культуры; — информацию городах, которых жили, учились, работали выступали участники группы; — уникальные маршруты местными достопримечательностями, музеями кафе. Оформить предзаказ книгу «The Purple Road: Путеводитель местам самой популярной k-pop-группы» (12+)следующей ссылке:";реклама
«Листы арания» блокнотик подзарядки рабочие будни становятся слишком тоскливыми загруженными, самое время открыть волшебный блокнотик выплеснуть туда накопленные эмоции! Именно блокнотик подготовил «заМУрчательный» автор Зоя Арефьева. Блокнот «Ликалепни мумуары. Кошички, твои мысли листы арани» создан специально, отдохнуть суеты, наполниться вдохновением творческой энергией. несколько деталей! Снаружи — мягкая обложка, выполненная технике «soft touch», которая порадует ваши тактильные ощущения. Внутри — милые иллюстрации поддерживающие цитаты, любую погоду любых обстоятельствах повод улыбки. Приобрести самый уютный блокнот свете «Ликалепни мумуары. Кошички, твои мысли листы арани» (16+): «Читай-город» — Ozon — Wildberries — Узнать теме можете, перейдя хештегу;реклама
Список акций неделю! 1. Пришло время наполнять полки книгами АСТ нонфикшн!, 12.10 это возможно сделать скидкой 20%. Подробнее акции ссылке: 2. полки книжном шкафу начнут заканчиваться, список желанных книг увеличиваться, сможете обратиться акции приобрести новые издания выгодно! заказе 1000 рублей получите скидку 20%, заказе 2700 рублей — 30%. Акция продлится 13 октября: Желаем удачных покупок!;реклама
Планируй вместе АСТ Нонфикшн! Новый год каждым днем ближе, значит пора запастись стильным удобным календарем! Настенный календарь-раскраска «Мифы Японии» подарит творческое интеллектуальное вдохновение: каждый месяц снабжен тематической иллюстрацией культурологическим описанием. сможете эффективно планировать дела, ближе познакомиться японской мифологией, также дать волю фантазии, раскрашивая детально иллюстрированные иллюстрации. Оставайтесь нами, впереди чудесных календарей! Приборести календарь-раскраску «Мифы Японии. Настенный календарь-раскраска 2025 год» (16+): Ozon — Wiildberries — Узнать теме можете, перейдя хештегу;реклама
Листаем книгу «Король Шут. Старая книга» (18+)следующим ссылкам: «Читай-город» — Ozon — Wildberries — Узнать теме можете, перейдя хештегу;реклама
Планируй вместе АСТ Нонфикшн! Настенный календарь «Славянские праздники» раскрасит ваши будни добавит изюминку планировании каждого месяца! календарь сочетает функции планера этнографического справочника. сможете спланировать год, узнать славянской культуре: образах символике традиционных праздников. Календарь иллюстрирован красочными изображениями. Каждая иллюстрация обладает особым настроением, способна вдохновить навести важные размышления. Оставайтесь нами, покажем прекрасных календарей любой вкус! Погрузиться мир славянской культуры приобрести календарь «Славянские праздники. Этнографический календарь 2025 год» (16+): Узнать теме можете, перейдя хештегу;реклама
Розыгрыш шопперов принтами книгам Зои Арефьевой! Зоя Арефьева — автор веселых душевных историй. книгах найти вдохновение, мотивацию гармонию. хотите прочитать истории, которые поднимут настроение, однозначно рекомендуем ознакомиться творчеством автора. Сегодня возможность поучаствовать розыгрыше шопперов, изображения которых вдохновлены котиками книг Зои Арефьевой! Условия участия: 1. подписанным наш телеграм-канал (данном мессенджере): 2. Отметить комментариях @ этим постом вашего друга родственника, которому будут интересны книги Зои Арефьевой (одного человека ). одного человека возможен комментарий. выберем трех победителей 23 октября помощью генератора случайных чисел. Каждый получит одному шопперу. Доставка РФ. Желаем удачи!;реклама
"Помогите ребенку развиваться гармонично! вами снова рубрика «Помощь родителям нейропсихологов». неделю делились вами рекомендациями развитию воспитанию детей книг серии «Нейроразвитие воспитание»: — Елена Порошина «Нейропсихология детей рождения 10 лет. Развитие мозга полезные игры»; — Вероника Мазина «Нейроразвитие детей 3 12 лет: игра, речь, моторика, почерк»; — Мария Серебрякова «Детские страхи методы преодоления». скоро сможете узнать развитии детской психики, мозговых функциях работе детскими страхами применять нейроигры, психологические игры упражнения воспитании обучении, объявляем долгожданный розыгрыш 3-х книг серии «Нейроразвитие воспитание»: Условия розыгрыша очень просты: 1. подписанным Книги АСТ нонфикшн наш телеграм-канал (данном мессенджере): 2. Отметить комментариях @ этим постом вашего друга родственника, которому будут интересны книги (одного человека ). одного человека возможен комментарий. выберем трех победителей 30 октября помощью генератора случайных чисел. Каждый получит одной книге. Доставка РФ. Желаем удачи розыгрыше! Приобрести книгу «Нейропсихология детей рождения 10 лет. Развитие мозга полезные игры» (16+): «Читай-город» — Wildberries — Ozon — Приобрести книгу «Нейроразвитие детей 3 12 лет: игра, речь, моторика, почерк» (16+)ссылкам: «Читай-город» — Ozon — Wildberries — Приобрести книгу «Детские страхи методы преодоления» (16+)следующим ссылкам: «Читай-город» — Ozon — Wildberries — Новые посты рубрики ищите хештегу";новости
Невидимые законы мировой культуры Филолог искусствовед Арсений Дежуров своей книге «Маятник культуры. становления упадка» исследует тему невидимых глазу законов, которые формируют уникальную культурно-социальную реальность каждой отдельной эпохи. это происходит? Наш контент-менеджер Иралия подготовила статью, которая раскроет ответы вопросы! Приобрести книгу «Маятник культуры. становления упадка» (12+): «Читай-город» — Ozon — Wildberries — Прочитать постов теме можете, перейдя хештегу;образование
«Вся история Китая — это время бурных, стремительных перемен» Книга «Китай эпоху Си Цзиньпина» поможет разгадать феноменальный успех китайской экономики. Передовые технологии инновации, небывалый экономический рост: — стало возможным могущество Китая? — долго сможет сохранять свое могущество? — какова роль харизматического лидерства Си Цзиньпина успехе современного Китая? Иван Зуенко, китаист, преподаватель МГИМО МИД России, расскажет, стало фундаментом китайского чуда, какие решения китайского лидера Си Цзиньпина стали ключевыми почему. Книга интересна ученым-китаистам, всем, желающим понимать экономику современного Китая те механизмы, которые лежат основе. Узнать культуре современного Китая приобрести книгу «Китай эпоху Си Цзиньпина» (12+): «Читай-город» — Ozon — Wildberries — Прочитать постов теме можете, перейдя хештегу;образование
Розыгрыш книг упражнениями вашего здоровья! книги, которые помогут улучшить свое здоровье благодаря понятным простым практикам! книги помогут подтянуть тело, сохранить молодое лицо морщин, сесть шпагат многое другое. возможность поучаствовать розыгрыше этих книг! Условия участия: 1. подписанным Книги АСТ нонфикшн наш телеграм-канал (данном мессенджере): 2. Отметить комментариях @ этим постом вашего друга родственника, которому будут интересны книги (одного человека ). одного человека возможен комментарий. выберем трех победителей 16 октября помощью генератора случайных чисел. Каждый получит одной книге. Доставка РФ. Желаем удачи! Приобрести книгу «понедельника! Система мини-тренировок тех, хочет подтянутое тело, молодое лицо крепкое здоровье» (16+): «Читай-город» — Ozon — Wildberries — Приобрести книгу «Вторая молодость кожи. Авторская система „ Йога лица “» (16+): «Читай-город» — Ozon — Wildberries — Приобрести книгу «Корсет выход, шпагат панацея» (16+): «Читай-город» — Ozon — Wildberries — Узнать теме можете, перейдя хештегу;реклама
Ежедневники, планеры, тематические блокноты терапевтические раскраски — найдите что-то! 6 книг вашего развития, успешного планирования, психологической проработки безудержного творчества нашей традиционной подборке. 1. одном! Недатированный планер Татьяны Задорожней веселыми жизнеутверждающими иллюстрациями сочетает, нужно эффективного планирования: календарь 2025 год, пространство ваших целей, планов задач, трекер полезных привычек настроения, страницы заметок благодарностей. Приобрести «Ежедневник-планер недатированный» (12+): Ozon — Wiildberries — 2. Раскраска «Арт-терапия ПТСР» поможет проработать свои травмы пережить кризисы, познакомит самим собой. раскраске собраны терапевтические рисунки задания, цель которых помочь справиться негативными переживаниями, также важная теория ПТСР признакам. Раскрасьте жизнь ярким цветом! Приобрести раскраску «Арт-терапия ПТСР. Рисуночные тесты проработке психологических травм» (16+): Ozon — Wiildberries — 3. Чувствуете неутомимым генератором идей? Случается порой забывать свои идеи сожалеть?, подойдет блокнот самых думающих креативных! «мысль, думаю… Ежедневник-блокнот записи безумных идей» рукой поможет сохранить ваши идеи, потеряв одной. Концентрат вдохновения одном блокноте! Приобрести ежедневник «мысль, думаю… Ежедневник-блокнот записи безумных идей» (12+): Ozon — Wiildberries — 4. Посещают гениальные мысли прямо, засыпаете?, наоборот, генерируете самые интересные идеи утра? Неважно! Планер- «перевертыш» «Ежедневник записи утренних инсайтов, снов ночных идей» подойдет любом случае: утра записывайте свои идеи планы день, сном — размышления прошедшем дне, мечты откровения. Приобрести ежедневник «Ежедневник записи утренних инсайтов, снов ночных идей» (12+): Ozon — Wiildberries — 5. ежедневник посвящается всем любителям аниме манги! Фиксируйте свои планы, идеи впечатления, рисуйте скетчи проявляйте творческую натуру удобном красиво иллюстрированном ежедневнике «Сугои! Ежедневник любителя аниме манги». Приобрести ежедневник «Сугои! Ежедневник любителя аниме манги» (12+): Ozon — Wiildberries — 6. заботитесь окружающей среде стремитесь придерживаться экологичного подхода жизни? Функциональный эстетичный блокнот «Экоблокнот. Формируй осознанное потребление» станет вашим незаменимым планером весь год, поможет сформировать новые эко-привычки познакомит «зеленой» философией. Приобрести планер «Экоблокнот. Формируй осознанное потребление» (12+): Ozon — Wiildberries — Узнать теме можете, перейдя хештегу;реклама
Какие книги читали персонажи романа «Анна Каренина»? Продолжаем нашу любимую рубрику! Сегодня представим, какие книги АСТ нонфикшн читали герои знаменитого романа Л. Н. Толстого «Анна Каренина». Листайте карусель делитесь своим мнением комментариях!;новости
Узнать Россию разных сторон: собираем книжную мозаику вместе книгами АСТ нонфикшн! продолжаем собирать мозаику книг российских авторов! Наша мозаика — удивительный рисунок авторов, пишущих России. коснемся самых разных аспектов: культура, искусство, наука, архитектура, география, лингвистика многое другое. Открывайте многоликую Россию вместе нашими книгами! Следующей частью мозаики станет книга фотографа-исследователя Александра Сухарева «Нетуристическая Россия. запада восток». Вместе автором отправитесь незабываемое путешествие нашей бескрайней Родине: Калининграда Сахалина, увидите неизвестную прежде, нетуристическую Россию. Заброшенные затерянные места, величественные горы, живописные ландшафты, малоизвестные шедевры архитектуры. Одно таких забытых мест — особняк барона А. Л. Штиглица, расположенный Санкт-Петербурге Английской набережной, представляющий особый художественный интерес. Особняк напоминает былой роскоши старой аристократии: выполненный стиле неоренессанс сочетает мотивы итальянского возрождения, барокко «мавританского» стиля. Узнать загадочных местах России, приобрести книгу «Нетуристическая Россия» (12+)другие книги рубрики: «Читай-город» — Ozon — Wiildberries — Узнать теме можете, перейдя хештегу;реклама
требовалось прочитать: «Доктор прописал любовь. Здоровый ребенок 0 3 лет» зовут Корешок, талисман АСТ нонфикшн. Порой слышу, мои замечательные коллеги рассуждают важном вопросе — воспитать ребенка здоровым счастливым? кстати недавно прочел книгу уважаемого профессора Андрея Продеуса «Доктор прописал любовь. Здоровый ребенок 0 3 лет», которой найти ответ столь насущный вопрос! Книга раскрывает основные этапы формирования здоровья ребенка: момента, будущая мама узнала беременности 3-х летнего возраста малыша. Именно период доктор считает самым важным. Прочитав книгу, мои коллеги очень воодушевлены, нашли ответ свой вопрос. Книга доктора Продеуса помогла понять, правильно ухаживать младенцем, кормить, развивать заботиться нем, какую важную роль материнская любовь играет формировании здорового счастливого ребенка! рад, эта книга смогла ответить столь важный вопрос, это повод воскликнуть: «требовалось прочитать!». Приобрести книгу «Доктор прописал любовь. Здоровый ребенок 0 3 лет» (16+): «Читай-город» — Ozon — Wildberries — Узнать теме можете, перейдя хештегу;образование
Развороты книги «Кошки» (12+): «Читай-город» — Ozon — Узнать теме можете, перейдя хештегу;реклама
найти опору, перестать бояться взрослой жизни узнать свои истинные желания? Ответы — книге практикующего психолога Вероники Хлебовой «Сепарация: перестать зависеть других людей». ознакомиться содержанием подробнее, предлагаем посмотреть видео ниже. Приобрести книгу «Сепарация: перестать зависеть других людей» (16+)следующим ссылкам: «Читай-город» — Ozon — Wildberries — Узнать теме можете, перейдя хештегу;реклама
Тысячеликий волк: исследование образа волка культуре Знаменитый французский историк Мишель Пастуро написал масштабное исследование символическом значении образа волка европейской культуре. фокусе — представления волке сознании человечества древних мифологий вплоть современных рекламных кампаний комиксов изображением волка. Наш контент-менеджер Иралия прочитала книгу «Волк. Культурная история» делится своими впечатлениями статье! Приобрести книгу «Волк. Культурная история» (12+): «Читай-город» — Ozon — Wiildberries — Прочитать постов теме можете, перейдя хештегу;реклама
Ваши дети хотят научиться готовить? эта книга! Книга знаменитого шеф-повара Константина Ивлева «Первая кулинарная книга маленького шефа» откроет секреты вкусных интересных блюд ваших детей! найдете: 1. Авторские рецепты шефа: сытных завтраков обедов сладких десертов. 2. Подробные понятные инструкции советы приготовлению каждого блюда. 3. Увлекательные веселые кулинарные квесты, которые научат ребенка собирать продуктовую корзину разбираться кухонных принадлежностях. 4. Важную часть технике безопасности кухне. Дядей Костей готовка станет настоящим приключением детей родителей! Приобрести книгу «Первая кулинарная книга маленького шефа» (12+): Узнать теме можете, перейдя хештегу;новости
5 фактов Дале словаре «Толковый словарь живого великорусского языка» — magnum opus Владимира Даля. 1. Владимир Иванович составлял словарь 53 года. 2. словаре найти толкования слов, узнать народном быте, поверьях, приметах других этнографических сведениях., например, статье слове «лапоть» указаны способы изготовления. 3. страницах своего словаря Даль нередко жалуется тяжесть предпринятого труда. Примечательно, жалобы вынесены предисловие, разбросаны статьям (причем количество закономерно нарастает последних томах словаря): «Объем. Объем словаря велик, одному подсилу». 4. главное дело Даля, словарь оценен смерти. 5. Самое впечатляющее истории создания словаря —, автор, профессиональный лингвист, собрал материал написал ста­тьи одиноч­ку. Приобрести «Толковый словарь живого великорусского языка» современном написании иллюстрациями следующей ссылке: интересных фактов словарях ищите нашей рубрике проекту «Слово года» хештегу;образование
"Вопрос, актуальный возрастов: построить здоровую самооценку? книге «Эмоции — ОК!» подробно разбирается волнующий многих вопрос — «собрать» нормальную самооценку? Давайте заглянем внутрь книги посмотрим, предлагает автор. главных аспекта, которые нужны, создать здоровую уверенность: — осознать свои положительные качества; — осознать, тебе нравится критикуешь., рассмотреть свои сильные стороны, автор предлагает сделать практику «Зеленые зеркала» увидеть, какими ресурсами талантами — явными скрытыми — обладаете. также проделать практику «Мое жизненное кредо», которая позволит понять, какие идеи опираетесь жизни. это делает уникальными! Второй пункт — это работа внутренним критиком умением объективно взглянуть свои недостатки, которые., человек собрал урожай своих талантов распознал точки роста, приближается здоровой самооценке. Узнать самооценке, личных границах эмоциях, также приобрести книгу «Эмоции — ОК!» (16+): «Читай-город» — Wildberries — Ozon — Узнать теме можете, перейдя хештегу";образование
